occupation,age,education_level,marital_status,communication_channel,call_month,call_day,call_duration,call_frequency,previous_campaign_outcome,conversion_status
executive,40,college,single,mobile,September,24,232,2,successful,1
manual_worker,47,elementary_school,married,mobile,August,28,88,10,unidentified,0
administrative_staff,36,college,divorced,unidentified,May,26,172,1,unidentified,0
technical_specialist,47,high_school,married,mobile,August,19,125,4,unidentified,0
manual_worker,37,high_school,single,mobile,January,29,163,2,unidentified,0
manual_worker,55,high_school,married,unidentified,May,14,144,1,unidentified,0
service_worker,40,high_school,married,mobile,May,12,350,5,unsuccessful,0
retired_worker,64,college,married,landline,September,7,569,4,unidentified,1
jobless,37,college,married,landline,February,23,367,1,unsuccessful,1
independent_worker,29,high_school,married,mobile,October,22,247,1,successful,1
executive,34,college,single,mobile,August,13,99,2,successful,0
service_worker,37,high_school,single,unidentified,May,13,370,1,unidentified,0
retired_worker,53,high_school,married,unidentified,June,18,154,2,unidentified,0
executive,36,college,married,mobile,August,4,293,1,other_outcome,1
executive,34,college,married,mobile,June,1,95,2,unidentified,0
service_worker,32,elementary_school,married,mobile,July,21,1017,6,unidentified,1
executive,31,college,single,mobile,February,6,132,1,unidentified,0
retired_worker,59,elementary_school,divorced,unidentified,May,8,89,4,unidentified,0
executive,39,college,married,mobile,August,28,908,1,unidentified,1
manual_worker,34,high_school,married,mobile,February,11,231,2,unsuccessful,1
jobless,26,college,single,mobile,October,6,275,2,unidentified,1
technical_specialist,36,elementary_school,married,unidentified,July,4,584,1,unidentified,1
executive,38,college,married,mobile,November,21,663,4,unidentified,1
student,23,high_school,single,mobile,July,8,414,2,unidentified,1
administrative_staff,29,high_school,single,mobile,November,25,414,1,unsuccessful,1
service_worker,23,high_school,single,mobile,July,6,316,4,unidentified,1
manual_worker,58,unidentified,married,mobile,August,25,50,23,unidentified,0
manual_worker,35,elementary_school,married,mobile,May,15,1190,2,other_outcome,1
administrative_staff,40,high_school,married,mobile,May,4,171,4,unidentified,0
manual_worker,51,elementary_school,married,mobile,July,10,324,1,unidentified,0
domestic_worker,55,college,divorced,unidentified,May,6,406,3,unidentified,0
manual_worker,33,high_school,single,mobile,September,6,224,1,other_outcome,1
manual_worker,29,high_school,married,mobile,May,14,1129,1,unidentified,1
manual_worker,61,elementary_school,married,mobile,August,6,562,2,successful,1
technical_specialist,50,high_school,married,mobile,August,20,75,2,unidentified,0
manual_worker,39,high_school,single,mobile,April,15,668,1,unidentified,1
manual_worker,46,high_school,married,mobile,July,20,296,1,unsuccessful,0
executive,28,high_school,single,mobile,April,20,174,1,unsuccessful,0
domestic_worker,47,high_school,married,mobile,October,12,105,1,unidentified,1
technical_specialist,34,college,single,mobile,April,23,115,16,unidentified,0
technical_specialist,40,high_school,married,mobile,July,30,159,2,unidentified,0
manual_worker,34,elementary_school,married,unidentified,May,16,1064,4,unidentified,1
executive,35,college,married,mobile,July,16,254,2,unidentified,0
manual_worker,48,elementary_school,married,mobile,May,14,307,1,unsuccessful,1
technical_specialist,43,unidentified,divorced,landline,July,2,632,2,successful,1
student,29,high_school,single,mobile,August,3,248,1,successful,1
technical_specialist,39,high_school,single,mobile,May,14,1180,1,unidentified,1
executive,62,college,married,mobile,July,6,270,3,unidentified,1
manual_worker,36,high_school,married,unidentified,May,28,109,3,unidentified,0
technical_specialist,36,high_school,divorced,unidentified,May,20,25,1,unidentified,0
service_worker,43,high_school,divorced,unidentified,May,16,132,1,unidentified,0
manual_worker,51,elementary_school,divorced,mobile,May,13,829,1,unsuccessful,1
manual_worker,49,elementary_school,married,mobile,August,12,559,4,unidentified,1
executive,41,college,divorced,mobile,March,26,117,2,unidentified,1
retired_worker,55,college,divorced,mobile,May,18,616,1,successful,1
technical_specialist,50,high_school,married,mobile,July,31,321,2,unidentified,0
executive,37,college,married,unidentified,June,16,637,6,unidentified,1
service_worker,33,high_school,single,mobile,July,24,255,1,unidentified,0
technical_specialist,43,high_school,single,unidentified,May,15,49,1,unidentified,0
technical_specialist,33,college,married,mobile,August,25,116,4,unidentified,0
retired_worker,63,elementary_school,married,mobile,June,9,251,1,unidentified,1
technical_specialist,26,high_school,single,mobile,October,30,217,1,unidentified,1
manual_worker,38,high_school,married,mobile,May,12,354,1,unidentified,0
business_owner,53,college,married,mobile,January,29,86,1,unidentified,0
administrative_staff,60,high_school,married,mobile,March,22,248,1,successful,1
retired_worker,65,high_school,divorced,mobile,July,13,305,1,unidentified,1
business_owner,37,college,married,mobile,July,1,140,3,unidentified,1
manual_worker,29,high_school,divorced,mobile,April,20,712,4,unidentified,1
manual_worker,41,high_school,married,mobile,May,14,123,4,unidentified,0
jobless,34,high_school,married,mobile,March,24,132,1,unidentified,1
technical_specialist,39,college,married,unidentified,May,16,813,1,unidentified,1
domestic_worker,49,college,married,mobile,January,29,149,1,unidentified,0
business_owner,37,college,married,mobile,July,10,283,1,unidentified,0
retired_worker,63,elementary_school,married,mobile,November,12,702,1,unidentified,0
executive,31,high_school,single,mobile,February,11,112,4,unsuccessful,0
technical_specialist,25,high_school,single,mobile,May,28,188,3,unsuccessful,1
manual_worker,36,high_school,single,unidentified,November,12,71,1,successful,1
manual_worker,46,high_school,married,mobile,February,8,376,2,other_outcome,1
executive,41,college,single,mobile,July,30,81,2,unidentified,0
manual_worker,50,elementary_school,married,mobile,July,31,64,20,unidentified,0
administrative_staff,34,high_school,married,mobile,February,9,243,2,successful,1
executive,36,high_school,divorced,unidentified,June,19,159,1,unidentified,0
administrative_staff,25,college,single,mobile,October,7,290,1,unsuccessful,1
technical_specialist,34,college,single,mobile,May,13,620,3,unidentified,1
manual_worker,60,elementary_school,married,mobile,August,18,671,4,unidentified,1
technical_specialist,34,high_school,single,mobile,November,18,835,1,unidentified,1
technical_specialist,53,high_school,married,mobile,January,28,146,1,unidentified,0
manual_worker,43,high_school,single,mobile,May,14,33,6,unidentified,0
executive,31,college,single,mobile,April,30,502,1,successful,1
manual_worker,37,high_school,married,unidentified,June,12,305,2,unidentified,0
unidentified,38,college,single,mobile,September,11,260,3,successful,1
executive,46,college,married,mobile,September,11,658,4,other_outcome,1
technical_specialist,71,college,married,mobile,April,27,388,3,unidentified,1
domestic_worker,42,elementary_school,single,unidentified,May,15,54,2,unidentified,0
jobless,46,college,married,mobile,July,10,85,1,unidentified,0
retired_worker,69,elementary_school,married,mobile,February,11,354,2,unidentified,1
manual_worker,43,elementary_school,married,unidentified,June,20,11,5,unidentified,0
jobless,47,elementary_school,married,landline,January,30,66,1,other_outcome,0
manual_worker,35,high_school,single,mobile,February,6,288,2,unidentified,0
executive,29,college,single,mobile,April,26,328,2,successful,1
executive,35,college,single,mobile,November,20,370,1,unidentified,0
service_worker,30,high_school,married,unidentified,May,29,544,1,unidentified,0
technical_specialist,35,high_school,married,mobile,March,9,301,1,successful,1
executive,44,college,single,mobile,July,19,204,4,other_outcome,1
administrative_staff,27,high_school,married,unidentified,June,18,1528,2,unidentified,1
manual_worker,35,high_school,divorced,unidentified,May,20,1205,1,unidentified,1
retired_worker,77,college,married,landline,February,1,483,2,unidentified,1
administrative_staff,28,high_school,single,mobile,May,15,536,1,other_outcome,1
executive,54,high_school,divorced,mobile,May,7,329,1,successful,0
executive,31,college,married,mobile,June,19,241,5,unidentified,0
manual_worker,32,elementary_school,married,mobile,April,17,728,1,unidentified,0
executive,34,high_school,married,mobile,August,2,868,3,unsuccessful,1
administrative_staff,32,high_school,single,mobile,February,4,1579,1,unsuccessful,1
jobless,64,high_school,divorced,mobile,March,8,409,1,unidentified,1
executive,27,college,married,mobile,September,22,569,1,unidentified,1
retired_worker,59,high_school,married,unidentified,May,30,161,1,unidentified,0
manual_worker,34,high_school,married,mobile,April,5,144,1,unidentified,1
independent_worker,76,unidentified,married,landline,April,28,403,1,successful,1
student,26,high_school,single,mobile,May,7,239,3,unidentified,0
technical_specialist,33,college,single,mobile,April,17,50,2,unsuccessful,0
manual_worker,37,high_school,married,mobile,September,8,421,2,successful,0
independent_worker,25,high_school,single,unidentified,May,28,615,2,unidentified,1
service_worker,48,high_school,married,mobile,May,7,99,1,unidentified,0
jobless,51,college,married,mobile,April,16,838,3,unidentified,1
executive,31,college,single,mobile,September,9,344,1,unsuccessful,1
executive,29,college,single,unidentified,May,27,103,2,unidentified,0
manual_worker,31,high_school,divorced,unidentified,May,26,182,5,unidentified,0
manual_worker,33,high_school,married,mobile,July,11,443,1,unidentified,0
administrative_staff,47,high_school,married,mobile,July,22,1352,2,unidentified,1
service_worker,42,high_school,married,unidentified,May,19,136,2,unidentified,0
technical_specialist,48,high_school,married,unidentified,May,30,682,1,unidentified,1
administrative_staff,53,high_school,married,unidentified,May,15,178,1,unidentified,0
service_worker,55,high_school,divorced,mobile,July,22,502,3,unidentified,0
jobless,37,college,married,mobile,July,29,300,2,unidentified,0
executive,44,college,married,mobile,July,10,67,1,unidentified,0
service_worker,24,high_school,married,mobile,May,18,453,4,unidentified,0
administrative_staff,60,high_school,divorced,landline,April,8,236,1,unidentified,1
manual_worker,40,elementary_school,married,unidentified,May,21,56,3,unidentified,0
manual_worker,37,elementary_school,single,mobile,May,15,151,1,unsuccessful,0
technical_specialist,36,high_school,married,mobile,June,1,516,1,unsuccessful,1
manual_worker,37,high_school,married,mobile,November,21,14,7,unidentified,0
technical_specialist,34,college,married,mobile,August,7,130,1,unidentified,1
administrative_staff,35,high_school,married,mobile,July,10,402,1,unidentified,0
service_worker,34,high_school,married,mobile,April,30,442,1,unidentified,1
executive,34,college,married,mobile,July,14,105,3,unidentified,0
manual_worker,45,high_school,married,unidentified,May,15,135,1,unidentified,0
executive,25,college,single,mobile,June,3,617,2,unidentified,1
manual_worker,39,elementary_school,single,mobile,May,14,159,1,unsuccessful,0
administrative_staff,27,college,married,mobile,July,22,138,2,successful,1
manual_worker,28,elementary_school,single,mobile,May,14,533,1,other_outcome,1
technical_specialist,31,high_school,divorced,mobile,July,30,113,10,unidentified,0
executive,30,college,single,mobile,July,15,219,1,successful,1
retired_worker,78,elementary_school,married,landline,May,24,838,1,unsuccessful,0
executive,34,college,married,mobile,November,19,783,3,other_outcome,1
manual_worker,39,elementary_school,divorced,unidentified,June,20,172,3,unidentified,0
retired_worker,76,elementary_school,divorced,mobile,September,9,475,5,unidentified,1
administrative_staff,27,high_school,single,mobile,July,21,177,1,unidentified,0
executive,31,college,single,landline,May,4,483,4,successful,1
executive,49,college,married,mobile,November,18,924,1,unidentified,1
jobless,50,high_school,married,mobile,June,9,239,4,unidentified,1
service_worker,43,high_school,married,mobile,May,22,271,1,unsuccessful,1
technical_specialist,44,college,married,mobile,February,5,653,3,other_outcome,0
retired_worker,66,high_school,married,mobile,July,7,376,1,unidentified,1
technical_specialist,30,college,single,mobile,April,29,375,1,unidentified,1
executive,35,college,divorced,mobile,November,19,89,1,unidentified,0
executive,39,college,divorced,mobile,May,5,106,1,unidentified,0
manual_worker,27,unidentified,single,mobile,May,15,212,4,other_outcome,0
retired_worker,74,elementary_school,married,mobile,February,25,385,2,unidentified,1
administrative_staff,35,high_school,married,mobile,May,5,862,3,other_outcome,1
technical_specialist,53,college,divorced,mobile,November,17,890,1,unidentified,1
retired_worker,57,high_school,married,mobile,July,20,178,2,unsuccessful,1
administrative_staff,29,high_school,single,mobile,May,6,540,1,unidentified,1
technical_specialist,30,high_school,single,mobile,May,5,670,2,unsuccessful,1
jobless,50,elementary_school,married,unidentified,June,5,504,1,unidentified,1
manual_worker,43,high_school,married,unidentified,May,7,243,1,unidentified,0
executive,30,college,single,mobile,April,15,141,1,unidentified,1
retired_worker,59,high_school,married,mobile,August,11,250,4,unidentified,0
independent_worker,44,college,divorced,mobile,April,30,381,1,other_outcome,1
technical_specialist,45,high_school,married,mobile,July,17,127,3,unidentified,0
manual_worker,45,high_school,divorced,unidentified,July,3,111,1,unidentified,0
technical_specialist,30,college,single,mobile,June,5,159,2,unidentified,1
executive,44,college,married,unidentified,May,15,74,1,unidentified,0
retired_worker,72,elementary_school,married,mobile,April,24,384,2,unidentified,1
service_worker,27,high_school,single,landline,December,28,824,1,successful,1
manual_worker,31,high_school,married,mobile,April,13,1091,2,unidentified,1
administrative_staff,33,high_school,married,mobile,August,10,155,1,successful,0
student,29,high_school,single,mobile,October,21,150,3,successful,1
technical_specialist,62,high_school,married,mobile,February,2,326,1,unidentified,1
administrative_staff,36,high_school,married,landline,May,12,291,5,unidentified,0
manual_worker,37,elementary_school,married,mobile,February,5,415,2,unsuccessful,0
student,20,high_school,single,mobile,April,9,245,3,unidentified,1
service_worker,34,high_school,married,mobile,June,4,246,1,successful,1
retired_worker,59,college,married,mobile,May,8,685,2,other_outcome,1
executive,44,college,married,mobile,May,11,145,2,unsuccessful,0
technical_specialist,32,high_school,single,unidentified,May,27,156,2,unidentified,0
technical_specialist,39,high_school,married,mobile,July,25,1369,9,unidentified,1
service_worker,28,high_school,single,mobile,July,18,328,3,unidentified,0
executive,38,college,married,mobile,August,4,178,1,successful,1
executive,61,high_school,married,mobile,November,13,632,1,unsuccessful,0
technical_specialist,31,high_school,married,mobile,August,8,135,2,unidentified,0
jobless,30,high_school,married,mobile,May,4,99,4,unidentified,0
technical_specialist,41,high_school,married,unidentified,July,1,130,1,unidentified,0
student,31,elementary_school,married,mobile,July,10,487,1,unidentified,1
executive,35,college,single,mobile,July,29,229,1,other_outcome,0
technical_specialist,29,high_school,single,mobile,May,18,1340,1,unidentified,1
manual_worker,48,high_school,married,mobile,May,15,830,1,unsuccessful,1
executive,35,college,married,unidentified,May,7,192,1,unidentified,0
executive,34,college,married,mobile,June,18,270,2,unsuccessful,1
independent_worker,30,college,single,mobile,June,1,235,1,unidentified,1
technical_specialist,35,high_school,married,unidentified,May,9,79,4,unidentified,0
administrative_staff,28,high_school,single,unidentified,May,6,178,2,unidentified,0
administrative_staff,54,high_school,married,mobile,November,11,167,1,unidentified,1
manual_worker,51,high_school,married,mobile,May,14,471,1,unidentified,0
manual_worker,48,elementary_school,married,unidentified,June,6,114,5,unidentified,0
executive,37,college,single,mobile,November,21,331,2,unidentified,1
executive,30,college,married,mobile,August,18,75,2,unidentified,0
administrative_staff,51,high_school,married,mobile,November,17,84,1,unidentified,0
manual_worker,40,high_school,married,mobile,May,5,257,1,unidentified,0
manual_worker,30,high_school,single,mobile,May,18,109,2,unidentified,0
technical_specialist,32,college,single,mobile,May,25,615,4,unidentified,1
executive,55,high_school,married,mobile,April,17,107,1,unidentified,0
administrative_staff,49,high_school,married,mobile,April,30,551,1,unidentified,1
retired_worker,50,elementary_school,married,unidentified,June,5,107,1,unidentified,0
manual_worker,35,high_school,single,mobile,May,26,293,2,unsuccessful,0
business_owner,41,high_school,married,unidentified,May,14,318,2,unidentified,0
service_worker,36,high_school,married,unidentified,June,11,100,5,unidentified,0
administrative_staff,37,high_school,single,mobile,August,7,305,1,other_outcome,0
technical_specialist,40,high_school,married,unidentified,May,16,731,4,unidentified,0
technical_specialist,69,high_school,married,mobile,August,7,714,1,unidentified,1
manual_worker,40,elementary_school,married,landline,July,21,742,4,unidentified,0
service_worker,27,high_school,single,mobile,April,19,142,2,unidentified,1
jobless,59,high_school,married,mobile,February,6,270,3,unidentified,0
independent_worker,53,college,married,mobile,August,11,121,5,unidentified,0
technical_specialist,41,high_school,married,mobile,August,29,141,2,unidentified,0
administrative_staff,28,high_school,single,mobile,May,8,144,4,other_outcome,0
administrative_staff,32,college,single,mobile,August,27,53,4,unidentified,0
technical_specialist,29,high_school,single,mobile,May,25,124,1,unidentified,1
service_worker,25,high_school,single,mobile,July,15,246,1,unidentified,0
technical_specialist,50,high_school,divorced,mobile,May,6,127,2,other_outcome,0
executive,39,college,married,mobile,November,18,341,1,unidentified,0
technical_specialist,28,unidentified,single,mobile,October,27,96,1,unsuccessful,1
executive,37,college,married,mobile,May,6,243,2,unsuccessful,1
administrative_staff,31,high_school,single,unidentified,June,3,455,1,unidentified,0
technical_specialist,35,high_school,divorced,unidentified,May,20,265,1,unidentified,0
technical_specialist,60,high_school,married,mobile,August,9,265,1,successful,1
retired_worker,64,college,married,mobile,August,25,479,1,unidentified,1
administrative_staff,32,college,married,mobile,June,2,84,1,unidentified,1
executive,32,college,single,mobile,May,15,1598,4,unsuccessful,1
manual_worker,40,high_school,married,unidentified,May,13,420,1,unidentified,0
administrative_staff,24,high_school,single,mobile,May,18,317,1,other_outcome,0
manual_worker,60,elementary_school,married,landline,August,26,15,10,unidentified,0
jobless,34,college,single,mobile,August,28,122,11,unidentified,0
retired_worker,61,high_school,married,landline,August,10,520,1,successful,1
retired_worker,69,high_school,married,mobile,December,10,429,1,unidentified,1
student,20,unidentified,single,mobile,November,11,244,2,unidentified,1
executive,33,college,married,unidentified,May,5,217,1,unidentified,0
unidentified,58,high_school,single,unidentified,June,6,248,2,unidentified,0
service_worker,41,high_school,married,unidentified,May,27,82,1,unidentified,0
manual_worker,31,high_school,married,mobile,April,17,464,1,unidentified,0
executive,35,college,married,mobile,October,1,305,2,successful,1
retired_worker,60,high_school,married,mobile,July,30,61,5,unidentified,0
executive,33,college,single,mobile,April,15,636,3,unsuccessful,1
technical_specialist,39,high_school,divorced,mobile,August,11,73,2,unidentified,0
administrative_staff,33,college,married,mobile,May,4,77,2,unidentified,0
technical_specialist,56,high_school,married,mobile,April,8,327,1,unidentified,1
executive,43,college,married,mobile,November,17,31,2,unidentified,0
manual_worker,39,high_school,married,unidentified,May,6,209,1,unidentified,0
administrative_staff,25,high_school,single,mobile,May,7,481,2,unidentified,1
business_owner,34,elementary_school,married,mobile,July,21,132,3,unidentified,0
manual_worker,53,high_school,married,unidentified,May,8,49,4,unidentified,0
manual_worker,53,elementary_school,divorced,landline,August,11,254,1,unidentified,1
manual_worker,41,high_school,divorced,unidentified,May,16,32,3,unidentified,0
executive,36,college,married,mobile,January,25,255,1,successful,1
administrative_staff,40,high_school,married,unidentified,May,16,75,1,unidentified,0
retired_worker,73,college,married,mobile,February,27,49,2,unidentified,1
manual_worker,32,high_school,single,mobile,May,14,24,6,unsuccessful,0
administrative_staff,48,high_school,married,mobile,February,18,318,1,successful,1
retired_worker,71,college,married,landline,March,15,577,7,unidentified,1
technical_specialist,36,high_school,married,unidentified,May,6,1597,2,unidentified,1
manual_worker,30,high_school,married,landline,May,14,57,1,unidentified,0
manual_worker,51,elementary_school,married,unidentified,May,29,51,1,unidentified,0
independent_worker,29,college,single,mobile,February,23,132,1,unsuccessful,1
manual_worker,40,high_school,married,mobile,April,17,57,1,unidentified,0
administrative_staff,53,college,married,mobile,August,4,68,1,unidentified,0
service_worker,36,unidentified,single,unidentified,May,16,515,1,unidentified,1
executive,32,college,married,unidentified,June,18,1060,5,unidentified,1
retired_worker,47,elementary_school,married,landline,May,8,479,2,unsuccessful,1
administrative_staff,30,high_school,married,mobile,May,6,174,1,unsuccessful,0
administrative_staff,26,high_school,single,mobile,April,30,104,1,unsuccessful,0
technical_specialist,33,high_school,married,mobile,November,12,627,2,successful,1
domestic_worker,46,high_school,married,mobile,August,18,96,11,unidentified,0
business_owner,43,college,married,mobile,November,17,105,1,unidentified,0
service_worker,30,high_school,married,mobile,November,20,593,1,unidentified,1
administrative_staff,54,high_school,married,mobile,August,12,100,6,unidentified,0
service_worker,39,high_school,married,unidentified,June,12,243,2,unidentified,0
executive,61,college,married,mobile,October,29,377,1,other_outcome,1
student,21,high_school,single,mobile,May,24,382,1,successful,1
service_worker,60,high_school,divorced,unidentified,June,11,360,1,unidentified,0
manual_worker,33,high_school,single,unidentified,June,4,1141,4,unidentified,1
jobless,54,high_school,married,mobile,May,15,693,5,unsuccessful,1
technical_specialist,53,unidentified,married,mobile,May,8,763,1,unidentified,0
technical_specialist,42,high_school,married,mobile,November,17,55,1,unidentified,0
technical_specialist,28,high_school,single,mobile,April,30,278,1,unidentified,1
service_worker,44,high_school,married,mobile,April,20,226,2,unidentified,0
independent_worker,41,high_school,married,mobile,November,17,789,1,unidentified,1
administrative_staff,31,college,single,unidentified,May,21,207,1,unidentified,0
executive,51,college,married,mobile,November,18,54,1,unidentified,0
student,27,high_school,single,mobile,March,3,133,1,unidentified,0
manual_worker,34,high_school,divorced,unidentified,May,13,2231,1,unidentified,1
executive,47,college,single,mobile,July,30,802,4,unidentified,1
administrative_staff,25,high_school,single,mobile,June,4,136,1,unidentified,1
executive,26,college,single,mobile,February,2,145,1,unsuccessful,0
administrative_staff,29,high_school,divorced,unidentified,May,12,820,1,unidentified,0
executive,59,college,divorced,landline,October,29,266,1,unidentified,1
executive,29,college,single,mobile,June,3,313,2,unidentified,1
executive,44,college,married,unidentified,June,4,129,4,unidentified,0
business_owner,30,college,single,mobile,May,14,176,2,unsuccessful,0
technical_specialist,61,high_school,married,mobile,May,21,214,4,unidentified,1
student,21,unidentified,single,mobile,June,24,288,1,unidentified,0
administrative_staff,52,high_school,divorced,mobile,July,17,115,1,unidentified,0
manual_worker,50,elementary_school,married,mobile,May,5,762,3,unidentified,1
manual_worker,45,high_school,divorced,mobile,May,7,878,3,unsuccessful,1
executive,37,college,married,mobile,May,13,216,1,successful,1
manual_worker,35,high_school,single,unidentified,May,16,81,6,unidentified,0
administrative_staff,29,high_school,married,unidentified,May,28,117,2,unidentified,0
business_owner,40,college,married,mobile,November,21,170,2,unidentified,0
administrative_staff,32,high_school,married,mobile,July,7,625,1,unidentified,1
retired_worker,52,elementary_school,divorced,mobile,April,17,709,1,unidentified,1
student,22,high_school,single,mobile,May,15,1380,1,unidentified,0
executive,35,college,married,mobile,August,7,257,2,unidentified,0
business_owner,47,college,married,mobile,February,16,261,2,unidentified,1
executive,43,college,married,mobile,July,14,1153,3,unidentified,1
retired_worker,71,high_school,married,mobile,November,17,747,2,unidentified,1
manual_worker,27,high_school,single,mobile,August,16,265,3,successful,1
executive,31,college,single,mobile,June,9,163,2,successful,1
technical_specialist,31,college,married,mobile,November,18,419,1,other_outcome,1
executive,26,college,single,mobile,August,17,156,1,unsuccessful,1
technical_specialist,26,high_school,married,mobile,July,28,817,2,unidentified,1
manual_worker,41,high_school,divorced,unidentified,May,14,1423,3,unidentified,1
retired_worker,82,elementary_school,divorced,landline,March,15,506,2,other_outcome,1
retired_worker,75,college,married,mobile,April,22,240,1,unidentified,1
administrative_staff,31,high_school,married,unidentified,May,14,178,1,unidentified,0
administrative_staff,27,college,married,mobile,October,11,212,1,unidentified,1
executive,39,high_school,married,unidentified,May,23,55,1,unidentified,0
service_worker,58,high_school,divorced,mobile,August,12,332,1,unidentified,1
executive,38,college,married,mobile,August,25,425,4,unidentified,0
manual_worker,47,high_school,married,mobile,February,19,388,1,successful,1
technical_specialist,43,high_school,divorced,mobile,August,11,160,2,unidentified,0
administrative_staff,46,high_school,married,mobile,January,29,169,1,unidentified,0
technical_specialist,37,high_school,single,mobile,August,18,724,16,unidentified,1
manual_worker,42,high_school,married,unidentified,May,30,135,3,unidentified,0
technical_specialist,34,high_school,married,mobile,July,23,429,1,unidentified,0
technical_specialist,40,college,married,mobile,August,19,44,1,unidentified,0
technical_specialist,29,high_school,single,unidentified,May,28,114,1,unidentified,0
service_worker,30,high_school,divorced,mobile,November,18,174,2,unsuccessful,0
service_worker,38,high_school,single,unidentified,May,26,61,1,unidentified,0
executive,47,college,married,mobile,June,2,654,1,unsuccessful,1
manual_worker,40,high_school,married,mobile,February,10,154,2,successful,1
manual_worker,36,high_school,single,unidentified,May,30,1133,2,unidentified,1
technical_specialist,34,high_school,married,mobile,July,19,253,3,successful,1
technical_specialist,28,college,single,mobile,May,25,269,1,unsuccessful,1
technical_specialist,34,college,single,mobile,August,14,505,2,unidentified,1
service_worker,54,unidentified,married,unidentified,June,20,838,1,unidentified,1
executive,58,college,married,mobile,September,8,400,2,successful,1
executive,58,college,divorced,unidentified,May,15,137,2,unidentified,0
independent_worker,47,unidentified,married,unidentified,May,6,225,1,unidentified,0
administrative_staff,52,college,married,mobile,August,21,97,4,unidentified,0
executive,33,college,single,mobile,April,8,195,6,unidentified,0
administrative_staff,45,elementary_school,married,unidentified,May,29,480,2,unidentified,0
administrative_staff,42,high_school,divorced,mobile,August,13,633,1,other_outcome,1
independent_worker,31,college,single,unidentified,May,23,601,1,unidentified,0
executive,34,college,married,mobile,May,11,123,2,unidentified,0
administrative_staff,38,high_school,married,mobile,March,3,136,2,unsuccessful,1
business_owner,51,college,married,unidentified,May,15,203,1,unidentified,0
service_worker,29,high_school,single,unidentified,July,3,587,3,unidentified,1
service_worker,28,high_school,single,mobile,May,18,128,1,unidentified,0
service_worker,42,high_school,married,mobile,May,11,67,1,unidentified,0
jobless,54,high_school,divorced,mobile,June,2,257,3,unidentified,1
service_worker,33,high_school,single,mobile,May,26,289,1,successful,1
technical_specialist,26,high_school,single,unidentified,June,20,18,9,unidentified,0
executive,60,college,divorced,mobile,June,3,593,1,unidentified,1
executive,41,college,married,mobile,August,26,338,9,unidentified,0
executive,35,high_school,single,mobile,May,6,90,1,unidentified,0
business_owner,51,college,married,mobile,April,20,267,2,unidentified,1
